Nombre,Direccion,Telefono,Latitud,Longitud
Brigada de Investigación Criminal Coquimbo,"Calle Aníbal Pinto N° 400, Coquimbo",51 - 267 11 97,-29.9551490784964,-71.3396116882810
Brigada de Investigacion Criminal Illapel,"Freire 277, Illapel",53 - 26 73 501,-31.6315175182507,-71.1674611660077
Brigada de Investigacion Criminal Los Vilos,"Av. Caupolicán 1550, Los Vilos",53 - 24 21 551,-31.9108752282785,-71.4977911714199
Brigada Antinarcóticos y Contra el Crimen Organizado Los Vilos,"Av. Caupolicán 1550, Los Vilos",53 - 24 21 551,-31.9108752282785,-71.4977911714199
Brigada de Investigación Criminal Ovalle,"Miguel Aguirre 641, Ovalle",53 - 267 35 29,-30.6068501462171,-71.2007116655335
Brigada de Investigación Criminal Vicuña,"Avenida Las delicias 748, Vicuña",51 - 26 71 264,19.9839643274172,-102.271062167560
Brigada de Investigación Criminal Valparaíso,"Tupungato N° 3850, Placilla, Valparaíso",32-331 15 57,-32.4478795316260,-71.2850341167934
Brigada de Investigación Criminal Isla de Pascua,"Mataveri S/N, Isla de Pascua",32-331 17 86,-27.1597284449849,-109.439128179305
Brigada Antinarcóticos  y Contra el Crimen Organizado Valparaíso,"Tupungato N° 3850, Placilla, Valparaíso",32-331 15 05,-32.4478795316260,-71.2850341167934
Brigada de Homicidios Valparaíso,"Tupungato N° 3850, Placilla, Valparaíso",32-331 18 19,-32.4478795316260,-71.2850341167934
Brigada de Delitos Económicos Valparaíso,"Tupungato N° 3850, Placilla, Valparaíso",32-331 15 55,-32.4478795316260,-71.2850341167934
Brigada de Delitos Sexuales Valparaíso,"Tupungato N° 3850, Placilla, Valparaíso",32-331 15 12,-32.4478795316260,-71.2850341167934
Brigada de Robos Valparaíso,"Tupungato N° 3850, Placilla, Valparaíso",32-331 15 40,-32.4478795316260,-71.2850341167934
Brigada de Delitos en Recintos Portuarios Valparaíso,"Tupungato N° 3850, Placilla, Valparaíso",32-331 15 50,-32.4478795316260,-71.2850341167934
Brigada Investigadora del Ciber Crimen Valparaíso,"Tupungato N° 3850, Placilla, Valparaíso",32-331 14 71,-32.4478795316260,-71.2850341167934
Departamento de Migraciones y Policía Internacional Valparaíso,"Uruguay 174, Valparaíso",32-331 14 43 (reserva de hora) - 32-331 14 44 (oficina),-33.0454385414164,-71.6080801173226
Centro de Atención a Víctimas de Atentados Sexuales V Región,"Av. Ecuador 251, of. 21, Viña del Mar",32-331 17 79,-33.0244354107235,-71.5598311724362
Brigada de Investigación Criminal Viña del Mar,"Los Acacios N° 2140, Miraflores Bajo, Viña del Mar",32-331 16 06,-33.0287454114291,-71.5311311719661
Departamento de Extranjería y Policía Internacional Viña del Mar,"Los Acacios N° 2140, Miraflores Bajo, Viña del Mar",32-331 16 52,-33.0287454114291,-71.5311311719661
Brigada de Investigación Criminal Quintero,"Vicuña Mackenna 1360, Quintero",32-331 16 93,-32.7724685369441,-71.5347701172025
Brigada de Investigación Criminal Quilpué,"Manuel Rodríguez 625, Quilpué",32-331 17 16,-33.0457654142181,-71.4466611705822
Brigada de Investigación Criminal Villa Alemana,"Calle Victoria 0409, Villa Alemana",32-331 17 45,-33.0458795414236,-71.3591741169148
Brigada de Investigación Criminal Limache,"República 430, Limache",33-234 44 00,-33.0028254071829,-71.2639111675880
Brigada de Investigación Criminal Quillota,"Concepción 161, Quillota",33-234 44 26,-32.8807953871891,-71.2449811672777
Brigada de Investigación Criminal La Calera,"Diego Lillo 573, La Calera",33-234 44 53,-32.7845371463270,-71.1926111664198
Brigada Antinarcóticos y Contra el Crimen Organizado La Calera,"Diego Lillo 573, La Calera",33-234 44 54,-32.7845371463270,-71.1926111664198
Brigada de Investigación Criminal San Antonio,"21 de Mayo N°712, San Antonio",35-237 41 06,29.4251748210200,-98.4946131613735
Brigada de Homicidios San Antonio,"21 de mayo 712, San Antonio",35-237 41 06,-33.5822625502117,-71.6029081173142
Brigada Antinarcóticos y Contra el Crimen Organizado San Antonio,"21 de Mayo N°712, San Antonio",35-237 41 06,29.4251748210200,-98.4946131613735
Departamento de Migraciones y Policía Internacional San Antonio,"21 de Mayo N°712, San Antonio",35-237 41 06,29.4251748210200,-98.4946131613735
Brigada de Investigación Criminal Los Andes,"O'Higgins 475, Los Andes",34-239 57 13,-32.8337537947848,-70.5997011567054
Brigada Antinarcóticos y Contra el Crimen Organizado Los Andes,"O'Higgins 475, Los Andes",34-239 57 19,-32.8337537947848,-70.5997011567054
Brigada de Homicidios Los Andes,"O'Higgins 475, Los Andes",34-239 57 46,-32.8337537947848,-70.5997011567054
Brigada de Delitos Económicos Los Andes,"O'Higgins 475, Los Andes",34-239 57 44,-32.8337537947848,-70.5997011567054
Brigada Investigadora de Robos Concón,"Avenida Magallanes 633, Concón",32 - 331 18 11,-32.9283253949766,-71.5199511717829
Brigada de Delitos Sexuales Los Andes,"O'Higgins 475, Los Andes",34-239 57 45,-32.8337537947848,-70.5997011567054
Brigada de Robos Los Andes,"O'Higgins 475, Los Andes",34-239 57 37,-32.8337537947848,-70.5997011567054
Departamento de Migraciones y Policía Internacional Los Andes,"O'Higgins 475, Los Andes",34-239 57 06,-32.8337537947848,-70.5997011567054
Brigada de Investigación Criminal San Felipe,"Freire 0911, San Felipe",34-239 57 00,-32.7525675366180,-70.7247481158754
Brigada de Investigación Criminal La Ligua,"Prat 198, La Ligua",33-234 44 85,-32.4493053164940,-71.2289811670156
Brigada de Investigación Criminal Costa Norte,"Calle Orella 103, Papudo",33-234 44 78,-32.5030345325297,-71.4544441170709
Avanzada Los Libertadores,"O'Higgins 475, Los Andes",34-240 90 11,-32.8337537947848,-70.5997011567054
Brigada Investigadora de Delitos Contra el Medioambiente y Patrimonio Cultural Valparaíso,"Tupungato N°3850, Placilla, Valparaíso",32 331 15 67,-32.4478795316260,-71.2850341167934
Brigada Investigadora del Cibercrimen Metropolitana,Av. del Parque N° 5045,+562 2 7080658,-33.3888554704303,-70.6158611569702
Brigada de Investigación Criminal Lampa,"Trincaco poniente 2150, Lampa",2- 2708 21 04,-33.2948054550216,-70.8806511613087
Brigada de Investigación Criminal Cerrillos,"Calle Francia 4040, Cerrillos",2- 2708 30 33,-33.4802548541186,-70.7201501158678
Brigada de Investigación Criminal Santiago,"General Borgoño 1204, piso 3, Independencia",2- 2708 18 22,-33.4305454772610,-70.6557411576236
Brigada de Investigación Criminal Independencia,"General Borgoño 1204, piso 5, Independencia",2- 2708 18 08,-33.4305454772610,-70.6557411576236
Brigada de Investigación Criminal Conchalí,"Calle del verano N° 1406, Huechuraba",2- 2708 32 98,-33.3464854634877,-70.6708911578719
Brigada de Investigación Criminal Colina,"El Tranque 0100, Población el Roble, Colina",2- 2708 32 72 / 2- 2708 32 73,-33.2119265441441,-70.6794091158011
Brigada de Investigación Criminal Renca,"Apostol Santiago 1672, Renca",2- 2708 35 47,-33.4022854726298,-70.6971311583018
Brigada de Investigación Criminal Quinta Normal Cerro Navia,Doctor Lucas Sierra N° 4112 Quinta Normal,2- 2708 35 22,-33.4269705476674,-70.6907981158198
